Stock,PE,Marketcap,Beta,Sector
AMS,18.08,16113480,0.5200231551883344,Health Services
AMSC,6.82,208397140,1.362592756160442,Producer Manufacturing
AMSF,15.29,1148211750,0.4518377601044276,Finance
AMSWA,63.51,394348517,0.929114699714246,Technology Services
AMT,68.45,92281141710,0.3611043275217123,Finance
AMTB,16.09,1531290180,2.141076021523814,Finance
AMTBB,11.69,1112693670,0.828513022308531,Finance
AMTD,13.99,27526874000,1.0455108314127253,Finance
AMTX,-0.65,20986250,1.6182861978317449,Process Industries
AMU,,,0.800682310204902,Miscellaneous
AMUB,,,0.4301131352358074,Miscellaneous
AMWD,,1222833810,1.2188609864789126,Producer Manufacturing
AMX,17.87,,0.5902452949594074,Communications
AMZA,,,1.179359532491911,Miscellaneous
AMZN,72.33,873923763240,1.868310457783821,Retail Trade
AN,9.05,3521079230,0.5686752929305856,Retail Trade
ANAB,-27.13,1967617440,1.721390559791713,Health Technology
ANAT,7.65,3048179190,0.6407449984738425,Finance
ANCN,-0.65,,-1.0780642520987809,Health Technology
ANDA,,,0.023556422914985855,Finance
ANDAR,,,,Finance
ANDAU,-6893.75,,0.24518173183626757,Finance
ANDAW,,,,Finance
ANDE,24.95,883025000,0.9032781081599747,Process Industries
ANDX,13.61,8567574400,1.0548976595057182,Energy Minerals
ANET,48.3,18741219570,1.764496131394999,Electronic Technology
ANF,11.71,1152474100,1.0385685883317188,Retail Trade
ANFI,1.01,39496782,1.7590958261863525,Process Industries
ANGI,72.94,7304061660,1.3742118896902762,Technology Services
ANGL,,,0.23670637399695155,Miscellaneous
ANGO,146.45,699288640,0.9725108274085397,Health Technology
ANH,-11.45,373864550,0.3473886195936156,Finance
ANIK,18.25,539866000,0.746283974765794,Health Technology
ANIP,59.96,839254206,0.828447235611572,Health Technology
ANIX,-4.56,81848760,0.46971327468339286,Electronic Technology
ANSS,35.76,15065076000,1.3515533576388195,Technology Services
ANTM,18,71495344080,0.8474281233161238,Health Services
ANY,-0.08,25505700,-1.1367266402842273,Technology Services
AOA,,,0.695528862570321,Miscellaneous
AOBC,28.2,457741620,0.2802630863975149,Electronic Technology
AOD,125.12,833533800,0.7203491689221811,Miscellaneous
AOIL,,,0.4271461433193063,Miscellaneous
AOK,,,0.23901540589725095,Miscellaneous
AOM,,,0.3308453840061676,Miscellaneous
AON,38.84,43310796540,0.7074033971179411,Finance
AOR,,,0.5182233834240005,Miscellaneous
AOS,15.78,5716048500,0.9620511914279306,Producer Manufacturing
AOSL,705.79,207453680,0.8774175311677371,Electronic Technology
AP,-0.69,58811100,0.7038059414513647,Producer Manufacturing
APA,-64.37,9800260470,1.267001460720374,Energy Minerals
APAM,9.31,1851011972,1.071640516886003,Finance
APC,74.47,35334114030,1.3077494949851936,Energy Minerals
APD,26.4,44816877470,0.8289423313296813,Process Industries
APDN,-1.46,22234707,1.0774280718344533,Technology Services
APDNW,,,,Technology Services
APEI,20.89,464076280,0.9346573899716992,Consumer Services
APEN,-1.71,72781040,0.9902554636560428,Health Technology
APH,21.59,25989684000,1.0394529469458167,Electronic Technology
APHA,-63.92,1652113000,1.3053206948575427,Health Technology
APLE,17.54,3456491040,0.5673270616230341,Finance
APLS,-7.25,1270330880,1.9162749566181874,Distribution Services
APLT,,168644280,1.236199011963184,Health Technology
APM,,915312479,0.10942063604087562,Health Technology
APO,42.93,12439855858,1.3068921093122214,Finance
APOG,22.37,964213750,0.9984755627949842,Producer Manufacturing
APOP,-0.82,,-0.14653749771735752,Health Technology
APOPW,,,-0.07191705867226326,Health Technology
APPF,169.84,3279046000,1.1952759812767326,Technology Services
APPN,-39.65,2352900782,1.4356074188258796,Technology Services
APPS,-7.61,308600890,1.164860629432813,Technology Services
APRN,-1.4,124673749,1.6912710564096585,Retail Trade
APT,11.25,47545980,0.16197512953529591,Health Technology
APTO,-2.47,87872000,1.193371068338118,Health Technology
APTS,-9.74,694494760,0.6921240713454224,Finance
APTV,16.83,16511753400,1.1137339867989726,Producer Manufacturing
APTX,-0.97,104042200,-1.476207579522348,Health Services
APU,58.67,3155456070,0.5429245102783886,Distribution Services
APVO,-0.33,32690250,1.3154216239627319,Health Technology
APWC,10.3,30679665,-0.009170100614666133,Electronic Technology
APY,25.92,2399925920,1.2383719445065837,Industrial Services
APYX,-24.61,205273260,1.3220249228905017,Health Technology
AQ,-21.41,471384360,1.4114103188411575,Electronic Technology
AQB,-2.4,46653840,-0.21340619155802212,Health Technology
AQMS,-1.52,80530200,1.1106954804075884,Industrial Services
AQN,22.58,5742471400,0.22369370940851885,Utilities
AQNA,,13032699040,0.057958638375497584,Utilities
AQNB,,12554570520,0.06066017111452176,Utilities
AQST,-1.15,92907000,0.2649423145245228,Health Technology
AQUA,-75.94,1344369400,0.7145372349575644,Industrial Services
AQXP,-3.19,61431570,0.945868227711698,Health Technology
AR,3.53,2030938110,1.3273609189575577,Energy Minerals
ARA,-13.32,211035330,0.8972503274983745,Health Services
ARAV,,65519370,0.9576139200577659,Health Technology
ARAY,-20.15,326569040,1.170009122053545,Health Technology
ARC,10.18,92538000,0.8062545509674713,Commercial Services
ARCB,10.37,639610910,1.3654787262169994,Transportation
ARCC,9,7485792880,0.5375797577751902,Finance
ARCE,,1930033536,0.03630974091921768,Technology Services
ARCH,5.07,1481801500,0.8869999516518691,Energy Minerals
ARCI,-1.32,8729250,1.2754091714291356,Industrial Services
ARCM,,,0.0023161579468318288,Miscellaneous
ARCO,27.68,1323458500,0.6576051773958373,Consumer Services
ARCT,-3.23,75118760,1.078653220311302,Health Technology
ARCW,-0.86,11688500,0.32264314897970675,Producer Manufacturing
ARD,-52.07,266924430,0.7706954070543603,Process Industries
ARDC,19.12,344870750,0.2711652050459364,Miscellaneous
ARDS,-2.25,70530900,-0.25310524401631507,Health Technology
ARDX,-1.63,170898000,1.7315098927130022,Health Technology
ARE,43.97,16534959760,0.5358348708666829,Finance
AREC,-0.54,79274400,0.3868167881735077,Finance
ARES,85.07,5658307251,0.9909038489654695,Finance
AREX,-0.68,20032419,1.3055925535361184,Energy Minerals
ARGD,,,0.03060805065915227,Finance
ARGO,18.44,2404061450,0.5273806031194355,Finance
ARGT,,,1.1482514428879462,Miscellaneous
ARGX,-53,,1.2040473097025188,Health Technology
ARI,11.56,2821918160,0.4758445667366703,Finance
ARKF,,,0.09891297752832824,Miscellaneous
ARKG,,,1.640896493148287,Miscellaneous
ARKK,,,1.6588930707260023,Miscellaneous
ARKQ,,,1.34531510134656,Miscellaneous
ARKR,23.33,69525130,0.28447335989127737,Consumer Services
ARKW,,,1.609748462077424,Miscellaneous
ARL,1.1,184446563,0.89516905521281,Finance
ARLO,-2.42,255699640,-0.6310178551643784,Consumer Durables
ARLP,4.66,2209609110,0.49621336194426174,Energy Minerals
ARMK,16.28,8573299700,0.977544539526119,Consumer Services
ARMP,-0.42,31772655,0.5305983451863012,Health Technology
ARNA,4.21,2627705700,1.6087905712433075,Health Technology
ARNC,15.37,9657900000,1.2423485921129402,Non-Energy Minerals
AROC,25.75,1156053710,1.5324723273121619,Industrial Services
AROW,12.73,465950280,0.6261138839988292,Finance
ARPO,-2.96,42617400,0.5007210400714784,Health Technology
ARQL,-43.73,785938900,1.7705730547369944,Health Technology
ARR,-2.88,1040380800,0.31452361139733426,Finance
ARRY,-44.63,5858661420,1.9635340659394704,Health Technology
ARTNA,22.81,330247140,0.456562758042761,Utilities
ARTW,-2.46,8564000,0.020348829771159115,Producer Manufacturing
ARTX,-405.77,56263150,0.5854418995433404,Producer Manufacturing
ARVN,-3.11,676259920,-0.0002514034955092641,Health Technology
ARW,7.58,5308617860,1.2298214442373128,Distribution Services
ARWR,280.92,2248039940,2.5700757155117846,Health Technology
ARYA,,,0.008376143344424124,Finance
ARYAU,,,0.04951906943975502,Finance
ARYAW,,,0.0,Finance
ASA,,,-0.13489546822777476,Miscellaneous
ASB,9.81,3246938240,0.7636771418291638,Finance
ASC,-4.96,233009920,1.0428018433402126,Transportation
ASCMA,-0.02,15737400,2.113223014446148,Consumer Services
ASEA,,,0.6874943198601743,Miscellaneous
ASET,,,0.4790852723276504,Miscellaneous
ASFI,5.35,46795000,0.011796535198520162,Finance
ASG,-38.58,148850240,1.060967524216602,Miscellaneous
ASGN,16.27,2678544000,1.5163766796677363,Commercial Services
ASH,64.57,4696370490,0.994224364064903,Process Industries
ASHR,,,0.9974240081881999,Miscellaneous
ASHS,,,0.7932589635551346,Miscellaneous
ASHX,,,0.7546909025278258,Miscellaneous
ASIX,9.7,691489940,1.4548997593548836,Process Industries
ASLN,-2.41,,1.3310834620158591,Health Technology
ASM,56.41,28791400,0.4013897498161287,Non-Energy Minerals
ASMB,-3.31,358722000,1.4518342985046497,Health Technology
ASML,26.83,,1.5582278728672367,Electronic Technology
ASNA,-2.9,207445350,0.892424669312763,Retail Trade
ASND,-32.98,,1.3742001473919174,Health Technology
ASPN,-3.48,118810300,0.4156425038519414,Producer Manufacturing
ASPS,-71.64,327696270,0.7739227555811787,Finance
ASPU,-6.52,74592000,0.5249915271426461,Consumer Durables
ASR,18.43,,0.6974367367384418,Transportation
ASRT,-16.78,188706650,0.08780978980279754,Health Technology
ASRV,9.24,72277160,0.07449504149620503,Finance
ASRVP,,,-0.44893425739373033,Finance
ASTC,-1.52,20277270,-0.6197065557366367,Electronic Technology
ASTE,-10.14,663087330,1.3044847918290106,Producer Manufacturing
ASUR,-10.71,99054150,1.709567869596832,Technology Services
ASV,-0.63,20783700,0.6790090704047218,Producer Manufacturing
ASX,9.39,,0.9909613911749443,Electronic Technology
ASYS,-6.39,76468800,1.06725655997992,Electronic Technology
AT,8.68,255589350,0.5958550650168543,Utilities
ATAI,0.32,,-0.029631432133883442,Commercial Services
ATAX,12,427211820,0.3355039363411748,Miscellaneous
ATEC,-4.1,184616580,0.604360801602476,Health Technology
ATEN,-22.5,460617150,0.9692732763129742,Technology Services
ATGE,18.39,2487344720,0.78977008456626,Consumer Services
